sample_id,filename,ticker,asset_class,date,split,atr,ret_1d,ret_5d,ret_10d,ret_20d,ret_30d,label_1d,label_5d,label_10d,label_20d,label_30d
BTC-USD_00102,BTC-USD_00102.png,BTC-USD,crypto,2018-04-14,train,0.059761,0.011369,0.033312,0.123164,0.210286,0.09972,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00103,BTC-USD_00103.png,BTC-USD,crypto,2018-04-15,train,0.057673,0.042037,0.03785,0.194148,0.194484,0.087531,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00104,BTC-USD_00104.png,BTC-USD,crypto,2018-04-16,train,0.057113,-0.033008,0.06019,0.060179,0.168542,0.02153,SELL,HOLD,HOLD,HOLD,HOLD
BTC-USD_00105,BTC-USD_00105.png,BTC-USD,crypto,2018-04-17,train,0.056187,-0.019621,0.098806,0.141276,0.180707,0.037766,SELL,HOLD,HOLD,HOLD,HOLD
BTC-USD_00106,BTC-USD_00106.png,BTC-USD,crypto,2018-04-18,train,0.053956,0.032536,0.107904,0.128657,0.170707,0.024035,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00107,BTC-USD_00107.png,BTC-USD,crypto,2018-04-19,train,0.049374,0.015906,0.089852,0.135551,0.123318,0.010668,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00108,BTC-USD_00108.png,BTC-USD,crypto,2018-04-20,train,0.053009,0.064376,0.156298,0.127168,0.117149,-0.005698,HOLD,HOLD,HOLD,HOLD,SELL
BTC-USD_00109,BTC-USD_00109.png,BTC-USD,crypto,2018-04-21,train,0.051148,0.005608,-1e-05,0.043655,0.022149,-0.038322,HOLD,SELL,HOLD,HOLD,SELL
BTC-USD_00110,BTC-USD_00110.png,BTC-USD,crypto,2018-04-22,train,0.047656,-0.010523,0.04247,0.024807,-0.052396,-0.055065,SELL,HOLD,HOLD,SELL,SELL
BTC-USD_00111,BTC-USD_00111.png,BTC-USD,crypto,2018-04-23,train,0.043873,0.014484,0.020753,0.048069,-0.03439,-0.090381,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00112,BTC-USD_00112.png,BTC-USD,crypto,2018-04-24,train,0.050038,0.082353,0.045699,0.087122,-0.023444,-0.166932,BUY,HOLD,HOLD,SELL,SELL
BTC-USD_00113,BTC-USD_00113.png,BTC-USD,crypto,2018-04-25,train,0.056366,-0.091932,-0.029131,0.000336,-0.106617,-0.245387,AVOID,SELL,HOLD,SELL,SELL
BTC-USD_00114,BTC-USD_00114.png,BTC-USD,crypto,2018-04-26,train,0.057208,0.048088,0.043665,0.108363,-0.038649,-0.167684,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00115,BTC-USD_00115.png,BTC-USD,crypto,2018-04-27,train,0.05516,-0.03224,-0.017663,0.039431,-0.10351,-0.232524,SELL,SELL,HOLD,SELL,SELL
BTC-USD_00116,BTC-USD_00116.png,BTC-USD,crypto,2018-04-28,train,0.054928,0.039429,0.027316,0.04205,-0.104622,-0.198608,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00117,BTC-USD_00117.png,BTC-USD,crypto,2018-04-29,train,0.052422,0.007524,0.041424,-0.012233,-0.124883,-0.270063,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00118,BTC-USD_00118.png,BTC-USD,crypto,2018-04-30,train,0.049825,-0.019136,0.029467,-0.010019,-0.132866,-0.231496,SELL,HOLD,SELL,SELL,SELL
BTC-USD_00119,BTC-USD_00119.png,BTC-USD,crypto,2018-05-01,train,0.048446,-0.01324,0.064697,-0.021506,-0.081978,-0.221241,SELL,HOLD,SELL,SELL,SELL
BTC-USD_00120,BTC-USD_00120.png,BTC-USD,crypto,2018-05-02,train,0.045516,0.012739,0.057094,-0.077202,-0.079871,-0.196236,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00121,BTC-USD_00121.png,BTC-USD,crypto,2018-05-03,train,0.048256,0.053537,0.014734,-0.082459,-0.13845,-0.202686,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00122,BTC-USD_00122.png,BTC-USD,crypto,2018-05-04,train,0.044466,-0.004433,-0.053656,-0.110566,-0.254055,-0.242788,SELL,SELL,SELL,SELL,SELL
BTC-USD_00123,BTC-USD_00123.png,BTC-USD,crypto,2018-05-05,train,0.04224,0.016094,-0.039486,-0.106953,-0.245723,-0.228357,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00124,BTC-USD_00124.png,BTC-USD,crypto,2018-05-06,train,0.043031,-0.020843,-0.086204,-0.147012,-0.276047,-0.271468,SELL,SELL,SELL,SELL,SELL
BTC-USD_00125,BTC-USD_00125.png,BTC-USD,crypto,2018-05-07,train,0.043291,-0.029621,-0.134296,-0.142941,-0.271955,-0.234875,SELL,SELL,SELL,SELL,SELL
BTC-USD_00126,BTC-USD_00126.png,BTC-USD,crypto,2018-05-08,train,0.042284,-0.014853,-0.097193,-0.146672,-0.240658,-0.202608,SELL,SELL,SELL,SELL,SELL
BTC-USD_00127,BTC-USD_00127.png,BTC-USD,crypto,2018-05-09,train,0.041601,0.009737,-0.05691,-0.11265,-0.25783,-0.184591,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00128,BTC-USD_00128.png,BTC-USD,crypto,2018-05-10,train,0.041137,-0.030623,-0.067467,-0.122847,-0.221477,-0.201296,SELL,SELL,SELL,SELL,SELL
BTC-USD_00129,BTC-USD_00129.png,BTC-USD,crypto,2018-05-11,train,0.04536,-0.068936,-0.060808,-0.060471,-0.199734,-0.182937,AVOID,SELL,SELL,SELL,SELL
BTC-USD_00130,BTC-USD_00130.png,BTC-USD,crypto,2018-05-12,train,0.046284,0.007482,-0.008645,-0.002669,-0.119033,-0.218294,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00131,BTC-USD_00131.png,BTC-USD,crypto,2018-05-13,train,0.046045,0.02543,-0.049479,-0.055991,-0.120227,-0.208117,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00132,BTC-USD_00132.png,BTC-USD,crypto,2018-05-14,train,0.047749,-0.00082,-0.05574,-0.143488,-0.132222,-0.281678,SELL,SELL,SELL,SELL,SELL
BTC-USD_00133,BTC-USD_00133.png,BTC-USD,crypto,2018-05-15,train,0.047191,-0.023964,-0.05538,-0.13877,-0.121404,-0.316812,SELL,SELL,SELL,SELL,SELL
BTC-USD_00134,BTC-USD_00134.png,BTC-USD,crypto,2018-05-16,train,0.046145,-0.016772,0.000337,-0.129035,-0.124456,-0.242865,SELL,HOLD,SELL,SELL,SELL
BTC-USD_00135,BTC-USD_00135.png,BTC-USD,crypto,2018-05-17,train,0.046229,-0.033352,0.005976,-0.129014,-0.091934,-0.259414,SELL,HOLD,SELL,SELL,SELL
BTC-USD_00136,BTC-USD_00136.png,BTC-USD,crypto,2018-05-18,train,0.044995,0.019168,-0.006512,-0.093986,-0.055937,-0.211673,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00137,BTC-USD_00137.png,BTC-USD,crypto,2018-05-19,train,0.042045,-0.000459,-0.087748,-0.14518,-0.07194,-0.238641,SELL,SELL,SELL,SELL,SELL
BTC-USD_00138,BTC-USD_00138.png,BTC-USD,crypto,2018-05-20,train,0.042214,0.031752,-0.08339,-0.09863,-0.078449,-0.20258,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00139,BTC-USD_00139.png,BTC-USD,crypto,2018-05-21,train,0.039599,-0.011134,-0.129372,-0.139263,-0.122466,-0.229132,SELL,SELL,SELL,SELL,SELL
BTC-USD_00140,BTC-USD_00140.png,BTC-USD,crypto,2018-05-22,train,0.040949,-0.045839,-0.13499,-0.116365,-0.215625,-0.217022,SELL,SELL,SELL,SELL,SELL
BTC-USD_00141,BTC-USD_00141.png,BTC-USD,crypto,2018-05-23,train,0.044555,-0.062068,-0.087474,-0.064236,-0.152127,-0.178114,SELL,SELL,SELL,SELL,SELL
BTC-USD_00142,BTC-USD_00142.png,BTC-USD,crypto,2018-05-24,train,0.045803,0.003898,-0.057432,0.011266,-0.138189,-0.216971,HOLD,SELL,HOLD,SELL,SELL
BTC-USD_00143,BTC-USD_00143.png,BTC-USD,crypto,2018-05-25,train,0.044379,-0.01423,-0.015239,0.017366,-0.178042,-0.208002,SELL,SELL,HOLD,SELL,SELL
BTC-USD_00144,BTC-USD_00144.png,BTC-USD,crypto,2018-05-26,train,0.042847,-0.016752,-0.009891,0.004579,-0.11383,-0.192029,SELL,SELL,HOLD,SELL,SELL
BTC-USD_00145,BTC-USD_00145.png,BTC-USD,crypto,2018-05-27,train,0.039142,0.001676,0.018625,0.037081,-0.1304,-0.16305,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00146,BTC-USD_00146.png,BTC-USD,crypto,2018-05-28,train,0.039681,-0.032025,0.023238,0.03805,-0.117687,-0.189926,SELL,HOLD,HOLD,SELL,SELL
BTC-USD_00147,BTC-USD_00147.png,BTC-USD,crypto,2018-05-29,train,0.042532,0.046091,0.068698,0.073239,-0.093461,-0.14754,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00148,BTC-USD_00148.png,BTC-USD,crypto,2018-05-30,train,0.041503,-0.008881,0.032605,0.02018,-0.103951,-0.235706,SELL,HOLD,HOLD,SELL,SELL
BTC-USD_00149,BTC-USD_00149.png,BTC-USD,crypto,2018-05-31,train,0.04043,0.011765,0.01447,0.016797,-0.089868,-0.174864,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00150,BTC-USD_00150.png,BTC-USD,crypto,2018-06-01,train,0.038551,0.006289,0.018455,-0.099261,-0.100657,-0.157203,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00151,BTC-USD_00151.png,BTC-USD,crypto,2018-06-02,train,0.036921,0.013435,0.014811,-0.087891,-0.113878,-0.166335,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00152,BTC-USD_00152.png,BTC-USD,crypto,2018-06-03,train,0.034473,0.009998,0.004541,-0.149456,-0.228238,-0.144633,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00153,BTC-USD_00153.png,BTC-USD,crypto,2018-06-04,train,0.034709,-0.027016,-0.012425,-0.195408,-0.225367,-0.167503,SELL,SELL,AVOID,SELL,SELL
BTC-USD_00154,BTC-USD_00154.png,BTC-USD,crypto,2018-06-05,train,0.03445,0.01575,0.002327,-0.118409,-0.196608,-0.130132,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00155,BTC-USD_00155.png,BTC-USD,crypto,2018-06-06,train,0.032973,0.002645,-0.117716,-0.167481,-0.20013,-0.139598,HOLD,AVOID,AVOID,SELL,SELL
BTC-USD_00156,BTC-USD_00156.png,BTC-USD,crypto,2018-06-07,train,0.030152,0.003165,-0.102702,-0.155736,-0.227975,-0.137081,HOLD,AVOID,AVOID,AVOID,SELL
BTC-USD_00157,BTC-USD_00157.png,BTC-USD,crypto,2018-06-08,train,0.028559,-0.006969,-0.153997,-0.166701,-0.22078,-0.113131,SELL,AVOID,AVOID,AVOID,SELL
BTC-USD_00158,BTC-USD_00158.png,BTC-USD,crypto,2018-06-09,train,0.027402,-0.012264,-0.182983,-0.124131,-0.255887,-0.118348,SELL,AVOID,SELL,AVOID,SELL
BTC-USD_00159,BTC-USD_00159.png,BTC-USD,crypto,2018-06-10,train,0.038316,-0.104293,-0.120736,-0.106666,-0.191661,-0.110838,AVOID,SELL,SELL,SELL,SELL
BTC-USD_00160,BTC-USD_00160.png,BTC-USD,crypto,2018-06-11,train,0.037207,0.017659,-0.049765,-0.001397,-0.057942,-0.069572,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00161,BTC-USD_00161.png,BTC-USD,crypto,2018-06-12,train,0.039309,-0.04813,-0.053034,-0.025987,-0.078444,-0.077053,SELL,SELL,SELL,SELL,SELL
BTC-USD_00162,BTC-USD_00162.png,BTC-USD,crypto,2018-06-13,train,0.041077,-0.035954,-0.012703,-0.078782,0.004823,-0.055208,SELL,SELL,SELL,HOLD,SELL
BTC-USD_00163,BTC-USD_00163.png,BTC-USD,crypto,2018-06-14,train,0.043425,0.049983,0.058852,-0.02996,0.027905,-0.017771,HOLD,HOLD,SELL,HOLD,SELL
BTC-USD_00164,BTC-USD_00164.png,BTC-USD,crypto,2018-06-15,train,0.042573,-0.033322,0.014071,-0.078199,-0.011723,-0.06167,SELL,HOLD,SELL,SELL,SELL
BTC-USD_00165,BTC-USD_00165.png,BTC-USD,crypto,2018-06-16,train,0.040824,0.01439,0.048368,-0.032649,0.027883,-0.015128,HOLD,HOLD,SELL,HOLD,SELL
BTC-USD_00166,BTC-USD_00166.png,BTC-USD,crypto,2018-06-17,train,0.03721,-0.0078,0.027047,-0.072239,0.018655,0.02883,SELL,HOLD,SELL,HOLD,HOLD
BTC-USD_00167,BTC-USD_00167.png,BTC-USD,crypto,2018-06-18,train,0.03911,0.035601,-0.066078,-0.054079,0.05357,0.119063,HOLD,SELL,SELL,HOLD,HOLD
BTC-USD_00168,BTC-USD_00168.png,BTC-USD,crypto,2018-06-19,train,0.036124,0.005201,-0.088812,-0.131756,0.005783,0.090232,HOLD,SELL,SELL,HOLD,HOLD
BTC-USD_00169,BTC-USD_00169.png,BTC-USD,crypto,2018-06-20,train,0.035437,0.000976,-0.09227,-0.084996,-0.004173,0.097982,HOLD,SELL,SELL,SELL,HOLD
BTC-USD_00170,BTC-USD_00170.png,BTC-USD,crypto,2018-06-21,train,0.032597,-0.006932,-0.081018,-0.056545,-0.068176,0.081794,SELL,SELL,SELL,SELL,HOLD
BTC-USD_00171,BTC-USD_00171.png,BTC-USD,crypto,2018-06-22,train,0.042921,-0.100925,-0.099286,-0.052457,-0.051065,0.097547,AVOID,SELL,SELL,SELL,HOLD
BTC-USD_00172,BTC-USD_00172.png,BTC-USD,crypto,2018-06-23,train,0.040552,0.012868,0.011999,0.083604,0.023574,0.198364,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00173,BTC-USD_00173.png,BTC-USD,crypto,2018-06-24,train,0.043743,0.001743,-0.042944,0.057865,0.012188,0.224183,HOLD,SELL,HOLD,HOLD,HOLD
BTC-USD_00174,BTC-USD_00174.png,BTC-USD,crypto,2018-06-25,train,0.042396,0.012228,0.007274,0.066476,0.01653,0.310895,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00175,BTC-USD_00175.png,BTC-USD,crypto,2018-06-26,train,0.040936,-0.0252,0.024473,0.060532,0.017522,0.269412,SELL,HOLD,HOLD,HOLD,HOLD
BTC-USD_00176,BTC-USD_00176.png,BTC-USD,crypto,2018-06-27,train,0.03826,0.01036,0.046829,0.090894,0.101069,0.26612,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00177,BTC-USD_00177.png,BTC-USD,crypto,2018-06-28,train,0.039598,-0.042076,0.071605,0.107649,0.173142,0.282247,SELL,HOLD,HOLD,HOLD,HOLD
BTC-USD_00178,BTC-USD_00178.png,BTC-USD,crypto,2018-06-29,train,0.043937,0.051961,0.100809,0.137539,0.221988,0.327641,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00179,BTC-USD_00179.png,BTC-USD,crypto,2018-06-30,train,0.043467,0.029426,0.059202,0.080823,0.182978,0.278886,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00180,BTC-USD_00180.png,BTC-USD,crypto,2018-07-01,train,0.040661,-0.002843,0.03606,-0.01163,0.138339,0.244828,SELL,HOLD,SELL,HOLD,HOLD
BTC-USD_00181,BTC-USD_00181.png,BTC-USD,crypto,2018-07-02,train,0.043135,0.035136,0.044065,0.001391,0.150003,0.197533,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00182,BTC-USD_00182.png,BTC-USD,crypto,2018-07-03,train,0.041892,-0.012872,0.036044,-0.060031,0.11476,0.142205,SELL,HOLD,SELL,HOLD,HOLD
BTC-USD_00183,BTC-USD_00183.png,BTC-USD,crypto,2018-07-04,train,0.04287,0.010354,0.03673,-0.045677,0.166318,0.147472,HOLD,HOLD,SELL,HOLD,HOLD
BTC-USD_00184,BTC-USD_00184.png,BTC-USD,crypto,2018-07-05,train,0.041255,0.006284,0.021621,-0.049946,0.244418,0.119418,HOLD,HOLD,SELL,HOLD,HOLD
BTC-USD_00185,BTC-USD_00185.png,BTC-USD,crypto,2018-07-06,train,0.039116,0.005162,-0.04769,-0.043011,0.20888,0.05761,HOLD,SELL,SELL,HOLD,HOLD
BTC-USD_00186,BTC-USD_00186.png,BTC-USD,crypto,2018-07-07,train,0.039589,0.027115,-0.042673,0.010175,0.175226,0.057501,HOLD,SELL,HOLD,HOLD,HOLD
BTC-USD_00187,BTC-USD_00187.png,BTC-USD,crypto,2018-07-08,train,0.036993,-0.012186,-0.096075,0.065493,0.174598,0.013741,SELL,SELL,HOLD,HOLD,HOLD
BTC-USD_00188,BTC-USD_00188.png,BTC-USD,crypto,2018-07-09,train,0.034311,-0.004754,-0.082406,0.084449,0.190102,-0.003069,SELL,SELL,HOLD,HOLD,SELL
BTC-USD_00189,BTC-USD_00189.png,BTC-USD,crypto,2018-07-10,train,0.038577,-0.063027,-0.071568,0.102155,0.198063,-0.06685,AVOID,SELL,HOLD,HOLD,SELL
BTC-USD_00190,BTC-USD_00190.png,BTC-USD,crypto,2018-07-11,train,0.035856,0.010179,0.004679,0.14997,0.256458,0.036952,HOLD,HOLD,HOLD,BUY,HOLD
BTC-USD_00191,BTC-USD_00191.png,BTC-USD,crypto,2018-07-12,train,0.036511,-0.026286,0.052848,0.148612,0.196142,-0.033391,SELL,HOLD,HOLD,HOLD,SELL
BTC-USD_00192,BTC-USD_00192.png,BTC-USD,crypto,2018-07-13,train,0.034175,0.001482,0.161567,0.17479,0.202235,0.010686,HOLD,BUY,BUY,HOLD,HOLD
BTC-USD_00193,BTC-USD_00193.png,BTC-USD,crypto,2018-07-14,train,0.031456,0.006084,0.166856,0.211995,0.193149,0.013477,HOLD,BUY,BUY,HOLD,HOLD
BTC-USD_00194,BTC-USD_00194.png,BTC-USD,crypto,2018-07-15,train,0.030384,0.01322,0.173723,0.294365,0.169365,0.003412,HOLD,BUY,BUY,HOLD,HOLD
BTC-USD_00195,BTC-USD_00195.png,BTC-USD,crypto,2018-07-16,train,0.034399,0.058348,0.14529,0.25189,0.10062,-0.025469,BUY,BUY,BUY,HOLD,SELL
BTC-USD_00196,BTC-USD_00196.png,BTC-USD,crypto,2018-07-17,train,0.043717,0.082433,0.095764,0.165051,0.047326,-0.066418,BUY,HOLD,HOLD,HOLD,SELL
BTC-USD_00197,BTC-USD_00197.png,BTC-USD,crypto,2018-07-18,train,0.042524,0.006771,0.013223,0.109106,-0.051752,-0.144705,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00198,BTC-USD_00198.png,BTC-USD,crypto,2018-07-19,train,0.040454,0.012951,0.045139,0.105653,-0.087519,-0.113393,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00199,BTC-USD_00199.png,BTC-USD,crypto,2018-07-20,train,0.039906,-0.015213,0.120642,0.095908,-0.169005,-0.150471,SELL,HOLD,HOLD,SELL,SELL
BTC-USD_00200,BTC-USD_00200.png,BTC-USD,crypto,2018-07-21,train,0.037762,0.008821,0.1066,0.106489,-0.113018,-0.122526,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00201,BTC-USD_00201.png,BTC-USD,crypto,2018-07-22,train,0.035497,-0.000108,0.069287,0.04753,-0.182003,-0.162181,SELL,HOLD,HOLD,SELL,SELL
