sample_id,filename,ticker,asset_class,date,split,atr,ret_3d,ret_7d,ret_15d,ret_30d,label_3d,label_7d,label_15d,label_30d
BTC-USD_00111,BTC-USD_00111.png,BTC-USD,crypto,2021-04-23,train,0.063294,-0.054754,0.03405,0.102623,-0.321344,HOLD,HOLD,HOLD,SELL
BTC-USD_00112,BTC-USD_00112.png,BTC-USD,crypto,2021-04-24,train,0.061019,0.055727,0.122466,0.140546,-0.384889,HOLD,BUY,HOLD,SELL
BTC-USD_00113,BTC-USD_00113.png,BTC-USD,crypto,2021-04-25,train,0.061798,0.094895,0.144434,0.151401,-0.257046,BUY,BUY,HOLD,SELL
BTC-USD_00114,BTC-USD_00114.png,BTC-USD,crypto,2021-04-26,train,0.068347,0.112234,0.144651,0.130938,-0.243792,BUY,BUY,HOLD,HOLD
BTC-USD_00115,BTC-USD_00115.png,BTC-USD,crypto,2021-04-27,train,0.064412,-0.008676,0.057172,0.048468,-0.31831,HOLD,HOLD,HOLD,SELL
BTC-USD_00116,BTC-USD_00116.png,BTC-USD,crypto,2021-04-28,train,0.061491,0.048191,-0.03137,-0.113047,-0.358915,HOLD,HOLD,HOLD,SELL
BTC-USD_00117,BTC-USD_00117.png,BTC-USD,crypto,2021-04-29,train,0.059853,0.053333,0.046322,-0.09781,-0.429057,HOLD,HOLD,HOLD,SELL
BTC-USD_00118,BTC-USD_00118.png,BTC-USD,crypto,2021-04-30,train,0.063751,0.055847,0.051696,-0.07108,-0.436393,HOLD,HOLD,HOLD,SELL
BTC-USD_00119,BTC-USD_00119.png,BTC-USD,crypto,2021-05-01,train,0.058474,-0.009567,-0.006842,-0.211094,-0.481589,HOLD,HOLD,SELL,SELL
BTC-USD_00120,BTC-USD_00120.png,BTC-USD,crypto,2021-05-02,train,0.054737,-0.080909,0.016732,-0.218967,-0.4376,SELL,HOLD,SELL,SELL
BTC-USD_00121,BTC-USD_00121.png,BTC-USD,crypto,2021-05-03,train,0.053048,0.013905,0.027883,-0.262935,-0.434192,HOLD,HOLD,SELL,SELL
BTC-USD_00122,BTC-USD_00122.png,BTC-USD,crypto,2021-05-04,train,0.055352,-0.014152,-0.023714,-0.287468,-0.420215,HOLD,HOLD,SELL,SELL
BTC-USD_00123,BTC-USD_00123.png,BTC-USD,crypto,2021-05-05,train,0.060328,0.072719,0.061289,-0.365581,-0.307665,HOLD,HOLD,SELL,SELL
BTC-USD_00124,BTC-USD_00124.png,BTC-USD,crypto,2021-05-06,train,0.059205,0.023744,-0.155575,-0.342204,-0.442403,HOLD,SELL,SELL,SELL
BTC-USD_00125,BTC-USD_00125.png,BTC-USD,crypto,2021-05-07,train,0.059077,0.032033,-0.126077,-0.413288,-0.461412,HOLD,SELL,SELL,SELL
BTC-USD_00126,BTC-USD_00126.png,BTC-USD,crypto,2021-05-08,train,0.056987,-0.02644,-0.139654,-0.423967,-0.469596,HOLD,SELL,SELL,SELL
BTC-USD_00127,BTC-USD_00127.png,BTC-USD,crypto,2021-05-09,train,0.055576,-0.036351,-0.229174,-0.525434,-0.56085,HOLD,SELL,SELL,SELL
BTC-USD_00128,BTC-USD_00128.png,BTC-USD,crypto,2021-05-10,train,0.06064,-0.169553,-0.225934,-0.408446,-0.553712,SELL,SELL,SELL,SELL
BTC-USD_00129,BTC-USD_00129.png,BTC-USD,crypto,2021-05-11,train,0.057958,-0.116514,-0.249222,-0.37473,-0.402643,SELL,SELL,SELL,SELL
BTC-USD_00130,BTC-USD_00130.png,BTC-USD,crypto,2021-05-12,train,0.070896,-0.128224,-0.278764,-0.366778,-0.435007,SELL,SELL,SELL,SELL
BTC-USD_00131,BTC-USD_00131.png,BTC-USD,crypto,2021-05-13,train,0.073246,-0.049856,-0.283904,-0.245868,-0.274973,HOLD,SELL,SELL,HOLD
BTC-USD_00132,BTC-USD_00132.png,BTC-USD,crypto,2021-05-14,train,0.070371,-0.067824,-0.198072,-0.331247,-0.33532,HOLD,SELL,SELL,SELL
BTC-USD_00133,BTC-USD_00133.png,BTC-USD,crypto,2021-05-15,train,0.071615,-0.136008,-0.290512,-0.365313,-0.243563,SELL,SELL,SELL,HOLD
BTC-USD_00134,BTC-USD_00134.png,BTC-USD,crypto,2021-05-16,train,0.078481,-0.085941,-0.219715,-0.270494,-0.150706,HOLD,SELL,SELL,HOLD
BTC-USD_00135,BTC-USD_00135.png,BTC-USD,crypto,2021-05-17,train,0.080692,-0.227523,-0.289735,-0.218633,-0.139522,SELL,SELL,HOLD,HOLD
BTC-USD_00136,BTC-USD_00136.png,BTC-USD,crypto,2021-05-18,train,0.080482,-0.065364,-0.117629,-0.171257,-0.126945,HOLD,HOLD,HOLD,HOLD
BTC-USD_00137,BTC-USD_00137.png,BTC-USD,crypto,2021-05-19,train,0.109726,-0.139972,-0.110976,-0.132747,-0.120098,SELL,HOLD,HOLD,HOLD
BTC-USD_00138,BTC-USD_00138.png,BTC-USD,crypto,2021-05-20,train,0.121805,0.014333,0.060093,0.057916,-0.033392,HOLD,HOLD,HOLD,HOLD
BTC-USD_00139,BTC-USD_00139.png,BTC-USD,crypto,2021-05-21,train,0.133536,-0.159487,-0.059239,-0.100199,-0.135468,HOLD,HOLD,HOLD,HOLD
BTC-USD_00140,BTC-USD_00140.png,BTC-USD,crypto,2021-05-22,train,0.128053,0.036875,-0.044035,-0.048124,-0.044016,HOLD,HOLD,HOLD,HOLD
BTC-USD_00141,BTC-USD_00141.png,BTC-USD,crypto,2021-05-23,train,0.136064,0.022798,-0.080999,-0.045629,-0.169736,HOLD,HOLD,HOLD,HOLD
BTC-USD_00142,BTC-USD_00142.png,BTC-USD,crypto,2021-05-24,train,0.138184,0.122305,0.025766,-0.035416,-0.067357,HOLD,HOLD,HOLD,HOLD
BTC-USD_00143,BTC-USD_00143.png,BTC-USD,crypto,2021-05-25,train,0.130766,-0.006974,-0.03612,-0.145266,-0.137813,HOLD,HOLD,HOLD,HOLD
BTC-USD_00144,BTC-USD_00144.png,BTC-USD,crypto,2021-05-26,train,0.123317,-0.073032,-0.045749,-0.027913,-0.102459,HOLD,HOLD,HOLD,HOLD
BTC-USD_00145,BTC-USD_00145.png,BTC-USD,crypto,2021-05-27,train,0.117501,-0.126759,-0.044733,-0.068229,-0.216725,HOLD,HOLD,HOLD,HOLD
BTC-USD_00146,BTC-USD_00146.png,BTC-USD,crypto,2021-05-28,train,0.11598,-0.074482,0.019881,-0.029105,-0.17748,HOLD,HOLD,HOLD,HOLD
BTC-USD_00147,BTC-USD_00147.png,BTC-USD,crypto,2021-05-29,train,0.11374,0.04479,0.032976,-0.004073,-0.029796,HOLD,HOLD,HOLD,HOLD
BTC-USD_00148,BTC-USD_00148.png,BTC-USD,crypto,2021-05-30,train,0.109668,0.058048,0.026677,0.12175,-0.005264,HOLD,HOLD,HOLD,HOLD
BTC-USD_00149,BTC-USD_00149.png,BTC-USD,crypto,2021-05-31,train,0.107102,0.051806,0.005151,0.119789,0.005301,HOLD,HOLD,HOLD,HOLD
BTC-USD_00150,BTC-USD_00150.png,BTC-USD,crypto,2021-06-01,train,0.100357,0.049027,-0.106518,0.079111,-0.06336,HOLD,HOLD,HOLD,HOLD
BTC-USD_00151,BTC-USD_00151.png,BTC-USD,crypto,2021-06-02,train,0.095208,0.005694,-0.091638,0.044312,-0.08867,HOLD,HOLD,HOLD,HOLD
BTC-USD_00152,BTC-USD_00152.png,BTC-USD,crypto,2021-06-03,train,0.090444,-0.055349,-0.006141,0.012649,-0.103016,HOLD,HOLD,HOLD,HOLD
BTC-USD_00153,BTC-USD_00153.png,BTC-USD,crypto,2021-06-04,train,0.090371,-0.089212,-0.066053,-0.091309,-0.123067,HOLD,HOLD,HOLD,HOLD
BTC-USD_00154,BTC-USD_00154.png,BTC-USD,crypto,2021-06-05,train,0.089226,-0.094704,0.011855,-0.035269,-0.044523,HOLD,HOLD,HOLD,HOLD
BTC-USD_00155,BTC-USD_00155.png,BTC-USD,crypto,2021-06-06,train,0.081574,-0.060267,1.6e-05,0.004108,-0.052133,HOLD,HOLD,HOLD,HOLD
BTC-USD_00156,BTC-USD_00156.png,BTC-USD,crypto,2021-06-07,train,0.083004,0.040513,0.086379,-0.124108,-0.046435,HOLD,HOLD,HOLD,HOLD
BTC-USD_00157,BTC-USD_00157.png,BTC-USD,crypto,2021-06-08,train,0.08347,0.089492,0.180971,-0.031942,0.00874,HOLD,BUY,HOLD,HOLD
BTC-USD_00158,BTC-USD_00158.png,BTC-USD,crypto,2021-06-09,train,0.092502,0.109187,0.188257,0.007453,-0.017944,HOLD,BUY,HOLD,HOLD
BTC-USD_00159,BTC-USD_00159.png,BTC-USD,crypto,2021-06-10,train,0.089047,-0.049191,0.026476,-0.074546,-0.0998,HOLD,HOLD,HOLD,HOLD
BTC-USD_00160,BTC-USD_00160.png,BTC-USD,crypto,2021-06-11,train,0.082857,0.06322,0.036146,-0.148496,-0.09069,HOLD,HOLD,HOLD,HOLD
BTC-USD_00161,BTC-USD_00161.png,BTC-USD,crypto,2021-06-12,train,0.081383,0.074411,-0.042324,-0.148375,-0.086515,HOLD,HOLD,HOLD,HOLD
BTC-USD_00162,BTC-USD_00162.png,BTC-USD,crypto,2021-06-13,train,0.087253,0.127974,0.00178,-0.025723,-0.069792,BUY,HOLD,HOLD,HOLD
BTC-USD_00163,BTC-USD_00163.png,BTC-USD,crypto,2021-06-14,train,0.083194,-0.01939,-0.090965,-0.127014,-0.178631,HOLD,HOLD,HOLD,HOLD
BTC-USD_00164,BTC-USD_00164.png,BTC-USD,crypto,2021-06-15,train,0.07769,-0.055333,-0.238745,-0.114487,-0.203217,HOLD,SELL,HOLD,HOLD
BTC-USD_00165,BTC-USD_00165.png,BTC-USD,crypto,2021-06-16,train,0.075056,-0.121393,-0.217571,-0.142471,-0.240125,SELL,SELL,HOLD,HOLD
BTC-USD_00166,BTC-USD_00166.png,BTC-USD,crypto,2021-06-17,train,0.072259,-0.073887,-0.128497,-0.132982,-0.199184,HOLD,HOLD,HOLD,HOLD
BTC-USD_00167,BTC-USD_00167.png,BTC-USD,crypto,2021-06-18,train,0.072896,-0.06389,-0.093337,-0.115665,-0.187956,HOLD,HOLD,HOLD,HOLD
BTC-USD_00168,BTC-USD_00168.png,BTC-USD,crypto,2021-06-19,train,0.068857,-0.12201,-0.12324,-0.031759,-0.118226,SELL,HOLD,HOLD,HOLD
BTC-USD_00169,BTC-USD_00169.png,BTC-USD,crypto,2021-06-20,train,0.069512,-0.091377,-0.101251,-0.009255,-0.144698,SELL,HOLD,HOLD,HOLD
BTC-USD_00170,BTC-USD_00170.png,BTC-USD,crypto,2021-06-21,train,0.076774,-0.056922,-0.029816,-0.056241,-0.180348,HOLD,HOLD,HOLD,HOLD
BTC-USD_00171,BTC-USD_00171.png,BTC-USD,crypto,2021-06-22,train,0.085053,0.090075,0.083473,0.077673,0.013608,HOLD,HOLD,HOLD,HOLD
BTC-USD_00172,BTC-USD_00172.png,BTC-USD,crypto,2021-06-23,train,0.085939,-0.027062,0.098425,0.040682,-0.005941,HOLD,HOLD,HOLD,HOLD
BTC-USD_00173,BTC-USD_00173.png,BTC-USD,crypto,2021-06-24,train,0.085724,-0.046641,0.038333,-0.025396,-0.004204,HOLD,HOLD,HOLD,HOLD
BTC-USD_00174,BTC-USD_00174.png,BTC-USD,crypto,2021-06-25,train,0.090205,-0.000369,-0.031961,-0.025255,-0.010732,HOLD,HOLD,HOLD,HOLD
BTC-USD_00175,BTC-USD_00175.png,BTC-USD,crypto,2021-06-26,train,0.088516,0.084702,0.068976,0.057806,0.110952,HOLD,HOLD,HOLD,HOLD
BTC-USD_00176,BTC-USD_00176.png,BTC-USD,crypto,2021-06-27,train,0.08742,0.108299,0.074293,0.06186,0.148459,BUY,HOLD,HOLD,HOLD
BTC-USD_00177,BTC-USD_00177.png,BTC-USD,crypto,2021-06-28,train,0.080835,0.011227,0.018249,-0.044068,0.128655,HOLD,HOLD,HOLD,HOLD
BTC-USD_00178,BTC-USD_00178.png,BTC-USD,crypto,2021-06-29,train,0.078922,-0.025358,-0.020192,-0.051617,0.149723,HOLD,HOLD,HOLD,HOLD
BTC-USD_00179,BTC-USD_00179.png,BTC-USD,crypto,2021-06-30,train,0.075792,-0.056511,-0.046585,-0.08873,0.109251,HOLD,HOLD,HOLD,HOLD
BTC-USD_00180,BTC-USD_00180.png,BTC-USD,crypto,2021-07-01,train,0.073894,-0.010681,-0.034418,-0.097654,0.186748,HOLD,HOLD,HOLD,HOLD
BTC-USD_00181,BTC-USD_00181.png,BTC-USD,crypto,2021-07-02,train,0.068684,0.049841,-0.020911,-0.066202,0.215034,HOLD,HOLD,HOLD,HOLD
BTC-USD_00182,BTC-USD_00182.png,BTC-USD,crypto,2021-07-03,train,0.065452,-0.004466,-0.002926,-0.072291,0.164924,HOLD,HOLD,HOLD,HOLD
BTC-USD_00183,BTC-USD_00183.png,BTC-USD,crypto,2021-07-04,train,0.062652,-0.012579,-0.033675,-0.086467,0.122894,HOLD,HOLD,HOLD,HOLD
BTC-USD_00184,BTC-USD_00184.png,BTC-USD,crypto,2021-07-05,train,0.062135,-0.04144,-0.030137,-0.135443,0.078067,HOLD,HOLD,HOLD,HOLD
BTC-USD_00185,BTC-USD_00185.png,BTC-USD,crypto,2021-07-06,train,0.059535,-0.026077,-0.017643,-0.124107,0.163685,HOLD,HOLD,HOLD,HOLD
BTC-USD_00186,BTC-USD_00186.png,BTC-USD,crypto,2021-07-07,train,0.056108,-0.012852,-0.045817,-0.064065,0.177131,HOLD,HOLD,HOLD,HOLD
BTC-USD_00187,BTC-USD_00187.png,BTC-USD,crypto,2021-07-08,train,0.055617,-0.009939,-0.030987,-0.046624,0.234827,HOLD,HOLD,HOLD,BUY
BTC-USD_00188,BTC-USD_00188.png,BTC-USD,crypto,2021-07-09,train,0.05519,0.040615,-0.033924,0.021192,0.303958,HOLD,HOLD,HOLD,BUY
BTC-USD_00189,BTC-USD_00189.png,BTC-USD,crypto,2021-07-10,train,0.052144,-0.019183,-0.072908,0.014523,0.259189,HOLD,HOLD,HOLD,BUY
BTC-USD_00190,BTC-USD_00190.png,BTC-USD,crypto,2021-07-11,train,0.050115,-0.024721,-0.061121,0.053146,0.324396,HOLD,HOLD,HOLD,BUY
BTC-USD_00191,BTC-USD_00191.png,BTC-USD,crypto,2021-07-12,train,0.050812,-0.04229,-0.074034,0.086599,0.286179,HOLD,HOLD,HOLD,BUY
BTC-USD_00192,BTC-USD_00192.png,BTC-USD,crypto,2021-07-13,train,0.048323,-0.042359,-0.073126,0.172723,0.318549,HOLD,HOLD,BUY,BUY
BTC-USD_00193,BTC-USD_00193.png,BTC-USD,crypto,2021-07-14,train,0.047679,-0.039943,-0.092682,0.20134,0.306439,HOLD,SELL,BUY,BUY
BTC-USD_00194,BTC-USD_00194.png,BTC-USD,crypto,2021-07-15,train,0.049381,-0.040073,-0.021921,0.19798,0.375776,HOLD,HOLD,BUY,BUY
BTC-USD_00195,BTC-USD_00195.png,BTC-USD,crypto,2021-07-16,train,0.047486,0.000506,0.016613,0.284402,0.393348,HOLD,HOLD,BUY,BUY
BTC-USD_00196,BTC-USD_00196.png,BTC-USD,crypto,2021-07-17,train,0.044176,-0.0194,0.066483,0.281236,0.403654,HOLD,HOLD,BUY,BUY
BTC-USD_00197,BTC-USD_00197.png,BTC-USD,crypto,2021-07-18,train,0.04329,-0.056282,0.083888,0.237215,0.377702,SELL,BUY,BUY,BUY
BTC-USD_00198,BTC-USD_00198.png,BTC-USD,crypto,2021-07-19,train,0.043062,0.009823,0.105938,0.20936,0.340504,HOLD,BUY,BUY,BUY
BTC-USD_00199,BTC-USD_00199.png,BTC-USD,crypto,2021-07-20,train,0.044438,0.047379,0.191906,0.21351,0.374141,HOLD,BUY,BUY,BUY
BTC-USD_00200,BTC-USD_00200.png,BTC-USD,crypto,2021-07-21,train,0.052944,0.119222,0.279187,0.287792,0.449366,BUY,BUY,BUY,BUY
BTC-USD_00201,BTC-USD_00201.png,BTC-USD,crypto,2021-07-22,train,0.049336,0.065736,0.219588,0.241196,0.429529,BUY,BUY,BUY,BUY
BTC-USD_00202,BTC-USD_00202.png,BTC-USD,crypto,2021-07-23,train,0.049045,0.089831,0.213617,0.281451,0.414417,BUY,BUY,BUY,BUY
BTC-USD_00203,BTC-USD_00203.png,BTC-USD,crypto,2021-07-24,train,0.046736,0.106022,0.229285,0.282766,0.384386,BUY,BUY,BUY,BUY
BTC-USD_00204,BTC-USD_00204.png,BTC-USD,crypto,2021-07-25,train,0.046271,0.139017,0.193805,0.244666,0.367979,BUY,BUY,BUY,BUY
BTC-USD_00205,BTC-USD_00205.png,BTC-USD,crypto,2021-07-26,train,0.059762,0.123473,0.122948,0.27125,0.299756,BUY,BUY,BUY,BUY
BTC-USD_00206,BTC-USD_00206.png,BTC-USD,crypto,2021-07-27,train,0.062382,0.069091,0.048727,0.19958,0.271021,HOLD,HOLD,BUY,BUY
BTC-USD_00207,BTC-USD_00207.png,BTC-USD,crypto,2021-07-28,train,0.060675,0.06932,-0.032338,0.145826,0.174975,HOLD,HOLD,HOLD,HOLD
BTC-USD_00208,BTC-USD_00208.png,BTC-USD,crypto,2021-07-29,train,0.056722,0.039953,-0.00623,0.105099,0.20424,HOLD,HOLD,HOLD,HOLD
BTC-USD_00209,BTC-USD_00209.png,BTC-USD,crypto,2021-07-30,train,0.06195,-0.000838,0.021295,0.177796,0.200737,HOLD,HOLD,BUY,HOLD
BTC-USD_00210,BTC-USD_00210.png,BTC-USD,crypto,2021-07-31,train,0.057241,-0.074536,0.013661,0.108946,0.145079,SELL,HOLD,HOLD,HOLD
BTC-USD_00211,BTC-USD_00211.png,BTC-USD,crypto,2021-08-01,train,0.05922,-0.087126,0.068013,0.122418,0.122587,SELL,HOLD,HOLD,HOLD
BTC-USD_00212,BTC-USD_00212.png,BTC-USD,crypto,2021-08-02,train,0.056904,-0.005705,0.091339,0.140487,0.165436,HOLD,HOLD,HOLD,HOLD
BTC-USD_00213,BTC-USD_00213.png,BTC-USD,crypto,2021-08-03,train,0.05601,0.041659,0.167827,0.131143,0.219967,HOLD,BUY,HOLD,BUY
BTC-USD_00214,BTC-USD_00214.png,BTC-USD,crypto,2021-08-04,train,0.056801,0.11532,0.177976,0.160631,0.256882,BUY,BUY,BUY,BUY
BTC-USD_00215,BTC-USD_00215.png,BTC-USD,crypto,2021-08-05,train,0.062256,0.114195,0.137221,0.161573,0.229983,BUY,BUY,HOLD,HOLD
BTC-USD_00216,BTC-USD_00216.png,BTC-USD,crypto,2021-08-06,train,0.06485,0.069205,0.083491,0.188333,0.200529,HOLD,HOLD,BUY,HOLD
BTC-USD_00217,BTC-USD_00217.png,BTC-USD,crypto,2021-08-07,train,0.062653,0.07963,0.109962,0.132966,0.189567,BUY,HOLD,HOLD,HOLD
BTC-USD_00218,BTC-USD_00218.png,BTC-USD,crypto,2021-08-08,train,0.060136,0.022837,0.055466,0.101621,0.166611,HOLD,HOLD,HOLD,HOLD
BTC-USD_00219,BTC-USD_00219.png,BTC-USD,crypto,2021-08-09,train,0.063102,0.040177,0.071556,0.123314,0.06653,HOLD,HOLD,HOLD,HOLD
BTC-USD_00220,BTC-USD_00220.png,BTC-USD,crypto,2021-08-10,train,0.060246,-0.042677,-0.007815,0.028506,-0.005927,HOLD,HOLD,HOLD,HOLD
BTC-USD_00221,BTC-USD_00221.png,BTC-USD,crypto,2021-08-11,train,0.056261,0.047306,-0.01971,0.07144,0.017535,HOLD,HOLD,HOLD,HOLD
BTC-USD_00222,BTC-USD_00222.png,BTC-USD,crypto,2021-08-12,train,0.055683,0.03244,-0.017534,0.029149,-0.015689,HOLD,HOLD,HOLD,HOLD
BTC-USD_00223,BTC-USD_00223.png,BTC-USD,crypto,2021-08-13,train,0.058911,0.057271,0.050244,0.09914,0.017253,HOLD,HOLD,HOLD,HOLD
BTC-USD_00224,BTC-USD_00224.png,BTC-USD,crypto,2021-08-14,train,0.056416,-0.038147,0.031833,0.022941,-0.03687,HOLD,HOLD,HOLD,HOLD
BTC-USD_00225,BTC-USD_00225.png,BTC-USD,crypto,2021-08-15,train,0.053926,-0.052338,0.037682,0.036133,-0.046367,HOLD,HOLD,HOLD,HOLD
BTC-USD_00226,BTC-USD_00226.png,BTC-USD,crypto,2021-08-16,train,0.053248,-0.048913,0.047216,0.00017,0.000966,HOLD,HOLD,HOLD,HOLD
BTC-USD_00227,BTC-USD_00227.png,BTC-USD,crypto,2021-08-17,train,0.053762,0.015382,0.074166,0.024949,0.046129,HOLD,HOLD,HOLD,HOLD
BTC-USD_00228,BTC-USD_00228.png,BTC-USD,crypto,2021-08-18,train,0.051331,0.098849,0.06519,0.088824,0.066808,BUY,HOLD,HOLD,HOLD
BTC-USD_00229,BTC-USD_00229.png,BTC-USD,crypto,2021-08-19,train,0.053333,0.087655,0.088785,0.096252,0.053589,BUY,HOLD,HOLD,HOLD
BTC-USD_00230,BTC-USD_00230.png,BTC-USD,crypto,2021-08-20,train,0.053904,0.054243,0.004797,0.06841,0.032863,HOLD,HOLD,HOLD,HOLD
BTC-USD_00231,BTC-USD_00231.png,BTC-USD,crypto,2021-08-21,train,0.050513,0.004186,-0.005702,0.012196,-0.04305,HOLD,HOLD,HOLD,HOLD
BTC-USD_00232,BTC-USD_00232.png,BTC-USD,crypto,2021-08-22,train,0.047245,-0.02483,-6.3e-05,0.056601,-0.132329,HOLD,HOLD,HOLD,HOLD
BTC-USD_00233,BTC-USD_00233.png,BTC-USD,crypto,2021-08-23,train,0.04475,-0.007343,-0.010022,0.06499,-0.19229,HOLD,HOLD,HOLD,SELL
BTC-USD_00234,BTC-USD_00234.png,BTC-USD,crypto,2021-08-24,train,0.044682,-0.053987,-0.051588,-0.056784,-0.128432,HOLD,HOLD,HOLD,HOLD
BTC-USD_00235,BTC-USD_00235.png,BTC-USD,crypto,2021-08-25,train,0.044424,0.027957,-0.011372,-0.034433,-0.060731,HOLD,HOLD,HOLD,HOLD
BTC-USD_00236,BTC-USD_00236.png,BTC-USD,crypto,2021-08-26,train,0.046512,-0.001193,-0.002326,-0.053905,-0.133553,HOLD,HOLD,HOLD,HOLD
BTC-USD_00237,BTC-USD_00237.png,BTC-USD,crypto,2021-08-27,train,0.048032,0.039424,0.049569,-0.044838,-0.09433,HOLD,HOLD,HOLD,HOLD
BTC-USD_00238,BTC-USD_00238.png,BTC-USD,crypto,2021-08-28,train,0.043759,-0.0417,0.019513,-0.081888,-0.126979,HOLD,HOLD,HOLD,HOLD
BTC-USD_00239,BTC-USD_00239.png,BTC-USD,crypto,2021-08-29,train,0.042609,-0.036139,0.021088,-0.059811,-0.14656,HOLD,HOLD,HOLD,HOLD
BTC-USD_00240,BTC-USD_00240.png,BTC-USD,crypto,2021-08-30,train,0.042322,0.000352,0.058149,-0.0825,-0.173927,HOLD,HOLD,HOLD,SELL
BTC-USD_00241,BTC-USD_00241.png,BTC-USD,crypto,2021-08-31,train,0.040758,0.047169,0.112037,0.000797,-0.124074,HOLD,BUY,HOLD,HOLD
BTC-USD_00242,BTC-USD_00242.png,BTC-USD,crypto,2021-09-01,train,0.042528,0.058843,-0.007567,0.02118,-0.074262,BUY,HOLD,HOLD,HOLD
BTC-USD_00243,BTC-USD_00243.png,BTC-USD,crypto,2021-09-02,train,0.041474,0.022221,-0.058067,-0.022016,-0.015059,HOLD,HOLD,HOLD,HOLD
BTC-USD_00244,BTC-USD_00244.png,BTC-USD,crypto,2021-09-03,train,0.042961,0.048004,-0.061372,-0.042663,-0.033314,HOLD,HOLD,HOLD,HOLD
BTC-USD_00245,BTC-USD_00245.png,BTC-USD,crypto,2021-09-04,train,0.03989,0.050823,-0.108451,-0.035547,-0.037172,BUY,SELL,HOLD,HOLD
BTC-USD_00246,BTC-USD_00246.png,BTC-USD,crypto,2021-09-05,train,0.040792,-0.064794,-0.099786,-0.055246,-0.016793,SELL,SELL,HOLD,HOLD
